Station,Min_Bikes_Required
Washington St,4
Hoboken Ave at Monmouth St,1
City Hall - Washington St & 1 St,2
Newport Pkwy,3
Manila & 1st,5
9 St HBLR - Jackson St & 8 St,9
Stevens - River Ter & 6 St,0
Exchange Pl,0
Adams St & 2 St,8
McGinley Square,7
Communipaw & Berry Lane,1
Jersey & 6th St,10
Bloomfield St & 15 St,6
Hamilton Park,17
6 St & Grand St,6
Brunswick & 6th,11
Morris Canal,3
Columbus Drive,0
South Waterfront Walkway - Sinatra Dr & 1 St,0
Oakland Ave,1
Journal Square,1
Riverview Park,1
Hoboken Terminal - River St & Hudson Pl,0
Dey St,2
Grand St & 14 St,0
Adams St & 12 St,4
Clinton St & 7 St,1
Jersey & 3rd,9
Church Sq Park - 5 St & Park Ave,1
Marshall St & 2 St,7
Pershing Field,1
Astor Place,5
Bergen Ave & Stegman St,0
JC Medical Center,2
Hoboken Terminal - Hudson St & Hudson Pl,5
Liberty Light Rail,12
Madison St & 10 St,7
Harborside,8
14 St Ferry - 14 St & Shipyard Ln,7
Mama Johnson Field - 4 St & Jackson St,5
Madison St & 1 St,17
Fairmount Ave,5
Bergen Ave & Sip Ave,0
Warren St,6
Grand St,2
Jackson Square,2
Christ Hospital,0
2 St & Park Ave,0
Clinton St & Newark St,3
York St & Marin Blvd,0
Van Vorst Park,10
Newport PATH,0
Grove St PATH,0
Marin Light Rail,16
7 St & Monroe St,8
Brunswick St,15
Bergen Ave,2
Leonard Gordon Park,1
Glenwood Ave,0
Hilltop,1
Newark Ave,0
Columbus Park - Clinton St & 9 St,5
Baldwin at Montgomery,6
5 Corners Library,1
Paulus Hook,1
Heights Elevator,3
Montgomery St,3
8 St & Washington St,11
Dixon Mills,12
11 St & Washington St,2
4 St & River St,4
Lincoln Park,1
W 15 St & 10 Ave,0
Union St,1
River Ter & Warren St,0
Willow Ave & 12 St,8
Southwest Park - Jackson St & Observer Hwy,8
4 St & Grand St,2
Monmouth and 6th,6
Lafayette Park,2
River St & 1 St,3
12 St & Sinatra Dr N,10
City Hall,5
Essex Light Rail,3
